jy,jx,jz
6,11,19
6,11,20
6,11,21
6,11,22
6,11,23
6,11,24
6,11,25
6,11,26
6,11,27
6,11,28
6,11,29
6,11,30
6,11,31
6,11,33
6,11,34
6,11,35
6,11,36
6,11,37
6,11,38
6,11,39
6,11,40
6,11,41
6,11,42
6,11,43
6,11,44
6,11,45
6,11,46
6,11,47
6,11,48
6,11,49
6,11,50
6,11,51
6,11,52
6,11,53
6,12,6
6,12,7
6,12,8
6,12,9
6,12,10
6,12,11
6,12,12
6,12,13
6,12,14
6,12,15
6,12,16
6,12,17
6,12,18
6,12,19
6,12,20
6,12,21
6,12,22
6,12,23
6,12,24
6,12,25
6,12,26
6,12,27
6,12,28
6,12,29
6,12,31
6,12,34
6,12,35
6,12,36
6,12,37
6,12,38
6,12,39
6,12,40
6,12,41
6,12,42
6,12,43
6,12,44
6,12,45
6,12,46
6,12,47
6,12,48
6,12,49
6,12,50
6,12,51
6,12,52
6,12,53
6,13,6
6,13,7
6,13,8
6,13,9
6,13,10
6,13,11
6,13,12
6,13,13
6,13,14
6,13,15
6,13,16
6,13,17
6,13,18
6,13,19
6,13,20
6,13,21
6,13,22
6,13,23
6,13,24
6,13,25
6,13,26
6,13,27
6,13,28
6,13,29
6,13,34
6,13,35
6,13,36
6,13,37
6,13,38
6,13,39
6,13,40
6,13,41
6,13,42
6,13,43
6,13,44
6,13,45
6,13,46
6,13,47
6,13,48
6,13,49
6,13,50
6,13,51
6,13,52
6,14,6
6,14,7
6,14,8
6,14,9
6,14,10
6,14,11
6,14,12
6,14,13
6,14,14
6,14,15
6,14,16
6,14,17
6,14,18
6,14,19
6,14,20
6,14,21
6,14,22
6,14,23
6,14,24
6,14,25
6,14,26
6,14,27
6,14,28
6,14,29
6,14,41
6,14,42
6,14,43
6,14,44
6,14,45
6,14,46
6,14,47
6,14,48
6,15,6
6,15,7
6,15,8
6,15,9
6,15,10
6,15,11
6,15,12
6,15,13
6,15,14
6,15,15
6,15,16
6,15,17
6,15,18
6,15,19
6,15,20
6,15,21
6,15,22
6,15,23
6,15,24
6,15,25
6,15,26
6,15,27
6,16,8
6,16,11
6,16,12
6,16,13
6,16,14
6,16,15
6,16,16
6,16,17
6,16,18
6,16,19
6,16,20
6,16,21
6,16,22
7,1,14
7,1,17
7,1,18
7,1,19
7,1,21
7,1,22
7,1,23
7,1,24
7,1,25
7,1,26
7,1,27
7,1,28
7,1,29
7,1,30
7,1,31
7,1,32
7,1,33
7,1,34
7,1,35
7,1,36
7,1,37
7,1,38
7,1,39
7,1,40
7,1,41
7,1,42
7,1,43
7,1,44
7,1,45
7,1,46
7,2,4
7,2,5
7,2,6
7,2,7
7,2,8
7,2,9
7,2,10
7,2,11
7,2,12
7,2,13
7,2,14
7,2,15
7,2,16
7,2,17
7,2,18
7,2,19
7,2,20
7,2,21
7,2,22
7,2,23
7,2,24
7,2,25
7,2,26
7,2,27
7,2,28
7,2,29
7,2,30
7,2,31
7,2,32
7,2,33
7,2,34
7,2,35
7,2,36
7,2,37
7,2,38
7,2,39
7,2,40
7,2,41
7,2,42
7,2,43
7,2,44
7,2,45
7,2,46
7,2,47
7,2,48
7,2,49
7,2,50
7,2,51
7,3,1
7,3,2
7,3,3
7,3,4
7,3,5
7,3,6
7,3,7
7,3,8
7,3,9
7,3,10
7,3,11
7,3,12
7,3,13
7,3,14
7,3,15
7,3,16
7,3,17
7,3,18
7,3,19
7,3,20
7,3,21
7,3,22
7,3,23
7,3,24
7,3,25
7,3,26
7,3,27
7,3,28
7,3,29
7,3,30
7,3,31
7,3,32
7,3,33
7,3,34
7,3,35
7,3,36
7,3,37
7,3,38
7,3,39
7,3,40
7,3,41
7,3,42
7,3,43
7,3,44
7,3,45
7,3,46
7,3,47
7,3,48
7,3,49
7,3,50
7,3,51
7,4,1
7,4,2
7,4,3
7,4,4
7,4,5
7,4,6
7,4,7
7,4,8
7,4,9
7,4,10
7,4,11
7,4,12
7,4,13
7,4,14
7,4,15
7,4,16
7,4,17
7,4,18
7,4,19
7,4,20
7,4,21
7,4,22
7,4,23
7,4,24
7,4,25
7,4,26
7,4,27
7,4,28
7,4,29
7,4,30
7,4,31
7,4,32
7,4,33
7,4,34
7,4,35
7,4,36
7,4,37
7,4,38
7,4,39
7,4,40
7,4,41
7,4,42
7,4,43
7,4,44
7,4,45
7,4,46
7,4,47
7,4,48
7,4,49
7,4,50
7,4,51
7,4,52
7,5,1
7,5,2
7,5,3
7,5,4
7,5,5
7,5,6
7,5,7
7,5,8
7,5,9
7,5,10
7,5,11
7,5,12
7,5,13
7,5,14
7,5,15
7,5,16
7,5,17
7,5,18
7,5,19
7,5,20
7,5,21
7,5,22
7,5,23
7,5,24
7,5,25
7,5,26
7,5,27
7,5,28
7,5,29
7,5,30
7,5,31
7,5,32
7,5,33
7,5,34
7,5,35
7,5,36
7,5,37
7,5,38
7,5,39
7,5,40
7,5,41
7,5,42
7,5,43
7,5,44
7,5,45
7,5,46
7,5,47
7,5,48
7,5,49
7,5,50
7,5,51
7,5,52
7,6,1
7,6,2
7,6,3
7,6,4
7,6,5
7,6,6
7,6,7
7,6,8
7,6,9
7,6,10
7,6,11
7,6,12
7,6,13
7,6,14
7,6,15
7,6,16
7,6,17
7,6,18
7,6,19
7,6,20
7,6,21
7,6,22
7,6,23
7,6,24
7,6,25
7,6,26
7,6,27
7,6,28
7,6,29
7,6,30
7,6,31
7,6,32
7,6,33
7,6,34
7,6,35
7,6,36
7,6,37
7,6,38
7,6,39
7,6,40
7,6,41
7,6,42
7,6,43
7,6,44
7,6,45
7,6,46
7,6,47
7,6,48
7,6,49
7,6,50
7,6,51
7,6,52
7,7,2
7,7,3
7,7,4
7,7,5
7,7,6
7,7,7
7,7,8
7,7,9
7,7,10
7,7,11
7,7,12
7,7,13
7,7,14
7,7,15
7,7,16
7,7,17
7,7,18
7,7,19
7,7,20
7,7,21
7,7,22
7,7,23
7,7,24
7,7,25
7,7,26
7,7,27
7,7,28
7,7,29
7,7,30
7,7,31
7,7,32
7,7,33
7,7,34
7,7,35
7,7,36
7,7,37
7,7,38
7,7,39
7,7,40
7,7,41
7,7,42
7,7,43
7,7,44
7,7,45
7,7,46
7,7,47
7,7,48
7,7,49
7,7,50
7,7,51
7,7,52
7,8,3
7,8,4
7,8,5
7,8,6
7,8,7
7,8,8
7,8,9
7,8,10
7,8,11
7,8,12
7,8,13
7,8,14
7,8,15
7,8,16
7,8,17
7,8,18
7,8,19
7,8,20
7,8,21
7,8,22
7,8,23
7,8,24
7,8,25
7,8,26
7,8,27
7,8,28
7,8,29
7,8,30
7,8,31
7,8,32
7,8,33
7,8,34
7,8,35
7,8,36
7,8,37
7,8,38
7,8,39
7,8,40
7,8,41
7,8,42
7,8,43
7,8,44
7,8,45
7,8,46
7,8,47
7,8,48
7,8,49
7,8,50
7,8,51
7,8,52
7,9,4
7,9,5
7,9,6
7,9,7
7,9,8
7,9,9
7,9,10
7,9,11
7,9,12
7,9,13
7,9,14
7,9,15
7,9,16
7,9,17
7,9,18
7,9,19
7,9,20
7,9,21
7,9,22
7,9,23
7,9,24
7,9,25
7,9,26
7,9,27
7,9,28
7,9,29
7,9,30
7,9,31
7,9,32
7,9,33
7,9,34
7,9,35
7,9,36
7,9,37
7,9,38
7,9,39
7,9,40
7,9,41
7,9,42
7,9,43
7,9,44
7,9,45
7,9,46
7,9,47
7,9,48
7,9,49
7,9,50
7,9,51
7,9,52
7,10,6
7,10,7
7,10,8
7,10,9
7,10,10
7,10,11
7,10,12
7,10,13
7,10,14
7,10,15
7,10,16
7,10,17
7,10,18
7,10,19
7,10,20
7,10,21
7,10,22
7,10,23
7,10,24
7,10,25
7,10,26
7,10,27
7,10,28
7,10,29
7,10,30
7,10,31
7,10,32
7,10,33
7,10,34
7,10,35
7,10,36
7,10,37
7,10,38
7,10,39
7,10,40
7,10,41
7,10,42
7,10,43
7,10,44
7,10,45
7,10,46
7,10,47
7,10,48
7,10,49
7,10,50
7,10,51
7,10,52
7,11,6
7,11,7
7,11,8
7,11,9
7,11,10
7,11,11
7,11,12
7,11,13
7,11,14
7,11,15
7,11,16
7,11,17
7,11,18
7,11,19
7,11,20
7,11,21
7,11,22
7,11,23
7,11,24
7,11,25
7,11,26
7,11,27
7,11,28
7,11,29
7,11,30
7,11,31
7,11,32
7,11,33
7,11,34
7,11,35
7,11,36
7,11,37
7,11,38
7,11,39
7,11,40
7,11,41
7,11,42
7,11,43
7,11,44
7,11,45
7,11,46
7,11,47
7,11,48
7,11,49
7,11,50
7,11,51
7,11,52
7,12,6
7,12,7
7,12,8
7,12,9
7,12,10
7,12,11
7,12,12
7,12,13
7,12,14
7,12,15
7,12,16
7,12,17
7,12,18
7,12,19
7,12,20
7,12,21
7,12,22
7,12,23
7,12,24
7,12,25
7,12,26
7,12,27
7,12,28
7,12,29
7,12,30
7,12,31
7,12,32
7,12,33
7,12,34
7,12,35
7,12,36
7,12,37
7,12,38
7,12,39
7,12,40
7,12,41
7,12,42
7,12,43
7,12,44
7,12,45
7,12,46
7,12,47
7,12,48
7,12,49
7,12,50
7,12,51
7,12,52
7,13,6
7,13,7
7,13,8
7,13,9
7,13,10
7,13,11
7,13,12
7,13,13
7,13,14
7,13,15
7,13,16
7,13,17
7,13,18
7,13,19
7,13,20
7,13,21
7,13,22
7,13,23
7,13,24
7,13,25
7,13,26
7,13,27
7,13,28
7,13,29
7,13,31
7,13,33
7,13,34
7,13,35
7,13,36
7,13,37
7,13,38
7,13,39
7,13,40
7,13,41
7,13,42
7,13,43
7,13,44
7,13,45
7,13,46
7,13,47
7,13,48
7,13,49
7,13,50
7,13,51
7,13,52
7,14,6
7,14,7
7,14,8
7,14,9
7,14,10
7,14,11
7,14,12
7,14,13
7,14,14
7,14,15
7,14,16
7,14,17
7,14,18
7,14,19
7,14,20
7,14,21
7,14,22
7,14,23
7,14,24
7,14,25
7,14,26
7,14,27
7,14,28
7,14,29
7,14,33
7,14,36
7,14,39
7,14,40
7,14,41
7,14,42
7,14,43
7,14,44
7,14,45
7,14,46
7,14,47
7,14,48
7,15,6
7,15,7
7,15,8
7,15,9
7,15,10
7,15,11
7,15,12
7,15,13
7,15,14
7,15,15
7,15,16
7,15,17
7,15,18
7,15,19
7,15,20
7,15,21
7,15,22
7,15,23
7,15,24
7,15,25
7,15,26
7,15,27
7,15,28
7,15,44
7,16,6
7,16,7
7,16,8
7,16,9
7,16,10
7,16,11
7,16,12
7,16,13
7,16,14
7,16,15
7,16,16
7,16,17
7,16,18
7,16,19
7,16,20
7,16,21
7,16,22
7,16,23
7,16,24
8,1,14
8,1,15
8,1,17
8,1,18
8,1,19
8,1,20
8,1,21
8,1,22
8,1,23
8,1,24
8,1,25
8,1,26
8,1,27
8,1,28
8,1,29
8,1,30
8,1,31
8,1,32
8,1,33
8,1,34
8,1,35
8,1,36
8,1,37
8,1,38
8,1,39
8,1,40
8,1,41
8,1,42
8,1,43
8,1,44
8,1,45
8,1,46
8,2,4
8,2,5
8,2,6
8,2,7
8,2,8
8,2,9
8,2,10
8,2,11
8,2,12
8,2,13
8,2,14
8,2,15
8,2,16
8,2,17
8,2,18
8,2,19
8,2,20
8,2,21
8,2,22
8,2,23
8,2,24
8,2,25
8,2,26
8,2,27
8,2,28
8,2,29
8,2,30
8,2,31
8,2,32
8,2,33
8,2,34
8,2,35
8,2,36
8,2,37
8,2,38
8,2,39
8,2,40
8,2,41
8,2,42
8,2,43
8,2,44
8,2,45
8,2,46
8,2,47
8,2,48
8,2,49
8,2,50
8,2,51
8,3,1
8,3,2
8,3,3
8,3,4
8,3,5
8,3,6
8,3,7
8,3,8
8,3,9
8,3,10
8,3,11
8,3,12
8,3,13
8,3,14
8,3,15
8,3,16
8,3,17
8,3,18
8,3,19
8,3,20
8,3,21
8,3,22
8,3,23
8,3,24
8,3,25
8,3,26
8,3,27
8,3,28
8,3,29
8,3,30
8,3,31
8,3,32
8,3,33
8,3,34
8,3,35
8,3,36
8,3,37
8,3,38
8,3,39
8,3,40
8,3,41
8,3,42
8,3,43
8,3,44
8,3,45
8,3,46
8,3,47
8,3,48
8,3,49
8,3,50
8,3,51
8,4,1
8,4,2
8,4,3
8,4,4
8,4,5
8,4,6
8,4,7
8,4,8
8,4,9
8,4,10
8,4,11
8,4,12
8,4,13
8,4,14
8,4,15
8,4,16
8,4,17
8,4,18
8,4,19
8,4,20
8,4,21
8,4,22
8,4,23
8,4,24
8,4,25
8,4,26
8,4,27
8,4,28
8,4,29
8,4,30
8,4,31
8,4,32
8,4,33
8,4,34
8,4,35
8,4,36
8,4,37
8,4,38
8,4,39
8,4,40
8,4,41
8,4,42
8,4,43
8,4,44
8,4,45
8,4,46
8,4,47
8,4,48
8,4,49
8,4,50
8,4,51
8,5,1
8,5,2
8,5,3
8,5,4
8,5,5
8,5,6
8,5,7
8,5,8
8,5,9
8,5,10
8,5,11
8,5,12
8,5,13
8,5,14
8,5,15
8,5,16
8,5,17
8,5,18
8,5,19
8,5,20
8,5,21
8,5,22
8,5,23
8,5,24
8,5,25
8,5,26
8,5,27
8,5,28
8,5,29
8,5,30
8,5,31
8,5,32
8,5,33
8,5,34
8,5,35
8,5,36
8,5,37
8,5,38
8,5,39
8,5,40
8,5,41
8,5,42
8,5,43
8,5,44
8,5,45
8,5,46
8,5,47
8,5,48
8,5,49
8,5,50
8,5,51
8,6,1
8,6,2
8,6,3
8,6,4
8,6,5
8,6,6
8,6,7
8,6,8
8,6,9
8,6,10
8,6,11
8,6,12
8,6,13
8,6,14
8,6,15
8,6,16
8,6,17
8,6,18
8,6,19
8,6,20
8,6,21
8,6,22
8,6,23
8,6,24
8,6,25
8,6,26
8,6,27
8,6,28
8,6,29
8,6,30
8,6,31
8,6,32
8,6,33
8,6,34
8,6,35
8,6,36
8,6,37
8,6,38
8,6,39
8,6,40
8,6,41
8,6,42
8,6,43
8,6,44
8,6,45
8,6,46
8,6,47
8,6,48
8,6,49
8,6,50
8,6,51
8,6,52
8,7,2
8,7,3
8,7,4
8,7,5
8,7,6
8,7,7
8,7,8
8,7,9
8,7,10
8,7,11
8,7,12
8,7,13
8,7,14
8,7,15
8,7,16
8,7,17
8,7,18
8,7,19
8,7,20
8,7,21
8,7,22
8,7,23
8,7,24
8,7,25
8,7,26
8,7,27
8,7,28
8,7,29
8,7,30
8,7,31
8,7,32
8,7,33
8,7,34
8,7,35
8,7,36
8,7,37
8,7,38
8,7,39
8,7,40
8,7,41
8,7,42
8,7,43
8,7,44
8,7,45
8,7,46
8,7,47
8,7,48
8,7,49
8,7,50
8,7,51
8,7,52
8,8,2
8,8,3
8,8,4
8,8,5
8,8,6
8,8,7
8,8,8
8,8,9
8,8,10
8,8,11
8,8,12
8,8,13
8,8,14
8,8,15
8,8,16
8,8,17
8,8,18
8,8,19
8,8,20
8,8,21
8,8,22
8,8,23
8,8,24
8,8,25
8,8,26
8,8,27
8,8,28
8,8,29
8,8,30
8,8,31
8,8,32
8,8,33
8,8,34
8,8,35
8,8,36
8,8,37
8,8,38
8,8,39
8,8,40
8,8,41
8,8,42
8,8,43
8,8,44
8,8,45
8,8,46
8,8,47
8,8,48
8,8,49
8,8,50
8,8,51
8,8,52
8,9,3
8,9,4
8,9,5
8,9,6
8,9,7
8,9,8
8,9,9
8,9,10
8,9,11
8,9,12
8,9,13
8,9,14
8,9,15
8,9,16
8,9,17
8,9,18
8,9,19
8,9,20
8,9,21
8,9,22
8,9,23
8,9,24
8,9,25
8,9,26
8,9,27
8,9,28
8,9,29
8,9,30
8,9,31
8,9,32
8,9,33
8,9,34
8,9,35
8,9,36
8,9,37
8,9,38
8,9,39
8,9,40
8,9,41
8,9,42
8,9,43
8,9,44
8,9,45
8,9,46
8,9,47
8,9,48
8,9,49
8,9,50
8,9,51
8,9,52
8,10,4
8,10,5
8,10,6
8,10,7
8,10,8
8,10,9
8,10,10
8,10,11
8,10,12
8,10,13
8,10,14
8,10,15
8,10,16
8,10,17
8,10,18
8,10,19
8,10,20
8,10,21
8,10,22
8,10,23
8,10,24
8,10,25
8,10,26
8,10,27
8,10,28
8,10,29
8,10,30
8,10,31
8,10,32
8,10,33
8,10,34
8,10,35
8,10,36
8,10,37
8,10,38
8,10,39
8,10,40
8,10,41
8,10,42
8,10,43
8,10,44
8,10,45
8,10,46
8,10,47
8,10,48
8,10,49
8,10,50
8,10,51
8,10,52
8,11,5
8,11,6
8,11,7
8,11,8
8,11,9
8,11,10
8,11,11
8,11,12
8,11,13
8,11,14
8,11,15
8,11,16
8,11,17
8,11,18
8,11,19
8,11,20
8,11,21
8,11,22
8,11,23
8,11,24
8,11,25
8,11,26
8,11,27
8,11,28
8,11,29
8,11,30
8,11,31
8,11,32
8,11,33
8,11,34
8,11,35
8,11,36
8,11,37
8,11,38
8,11,39
8,11,40
8,11,41
8,11,42
8,11,43
8,11,44
8,11,45
8,11,46
8,11,47
8,11,48
8,11,49
8,11,50
8,11,51
8,11,52
8,12,5
8,12,6
8,12,7
8,12,8
8,12,9
8,12,10
8,12,11
8,12,12
8,12,13
8,12,14
8,12,15
8,12,16
8,12,17
8,12,18
8,12,19
8,12,20
8,12,21
8,12,22
8,12,23
8,12,24
8,12,25
8,12,26
8,12,27
8,12,28
8,12,29
8,12,30
8,12,31
8,12,32
8,12,33
8,12,34
8,12,35
8,12,36
8,12,37
8,12,38
8,12,39
8,12,40
8,12,41
8,12,42
8,12,43
8,12,44
8,12,45
8,12,46
8,12,47
8,12,48
8,12,49
8,12,50
8,12,51
8,12,52
8,13,5
8,13,6
8,13,7
8,13,8
8,13,9
8,13,10
8,13,11
8,13,12
8,13,13
8,13,14
8,13,15
8,13,16
8,13,17
8,13,18
8,13,19
8,13,20
8,13,21
8,13,22
8,13,23
8,13,24
8,13,25
8,13,26
8,13,27
8,13,28
8,13,29
8,13,30
8,13,31
8,13,32
8,13,33
8,13,34
8,13,35
8,13,36
8,13,37
8,13,38
8,13,39
8,13,40
8,13,41
8,13,42
8,13,43
8,13,44
8,13,45
8,13,46
8,13,47
8,13,48
8,13,49
8,13,50
8,13,51
8,13,52
8,14,5
8,14,6
8,14,7
8,14,8
8,14,9
8,14,10
8,14,11
8,14,12
8,14,13
8,14,14
8,14,15
8,14,16
8,14,17
8,14,18
8,14,19
8,14,20
8,14,21
8,14,22
8,14,23
8,14,24
8,14,25
8,14,26
8,14,27
8,14,28
8,14,29
8,14,30
8,14,31
8,14,32
8,14,33
8,14,34
8,14,35
8,14,36
8,14,37
8,14,38
8,14,39
8,14,40
8,14,41
8,14,42
8,14,43
8,14,44
8,14,45
8,14,46
8,14,47
8,14,48
8,14,49
8,15,4
8,15,5
8,15,6
8,15,7
8,15,8
8,15,9
8,15,10
8,15,11
8,15,12
8,15,13
8,15,14
8,15,15
8,15,16
8,15,17
8,15,18
8,15,19
8,15,20
8,15,21
8,15,22
8,15,23
8,15,24
8,15,25
8,15,26
8,15,27
8,15,28
8,15,29
8,15,33
8,15,42
8,15,43
8,15,44
8,15,45
8,15,46
8,16,4
8,16,5
8,16,6
8,16,7
8,16,8
8,16,9
8,16,10
8,16,11
8,16,12
8,16,13
8,16,14
8,16,15
8,16,16
8,16,17
8,16,18
8,16,19
8,16,20
8,16,21
8,16,22
8,16,23
8,16,24
8,16,26
8,16,27
9,1,14
9,1,15
9,1,17
9,1,18
9,1,19
9,1,20
9,1,21
9,1,22
9,1,23
9,1,24
9,1,25
9,1,26
9,1,27
9,1,28
9,1,29
9,1,30
9,1,31
9,1,32
9,1,33
9,1,34
9,1,35
9,1,36
9,1,37
9,1,38
9,1,39
9,1,40
9,1,41
9,1,42
9,1,43
9,1,44
9,1,45
9,1,46
9,2,4
9,2,5
9,2,6
9,2,7
9,2,8
9,2,9
9,2,10
9,2,11
9,2,12
9,2,13
9,2,14
9,2,15
9,2,16
9,2,17
9,2,18
9,2,19
9,2,20
9,2,21
9,2,22
9,2,23
9,2,24
9,2,25
9,2,26
9,2,27
9,2,28
9,2,29
9,2,30
9,2,31
9,2,32
9,2,33
9,2,34
9,2,35
9,2,36
9,2,37
9,2,38
9,2,39
9,2,40
9,2,41
9,2,42
9,2,43
9,2,44
9,2,45
9,2,46
9,2,47
9,2,48
9,2,49
9,2,51
9,3,2
9,3,3
9,3,4
9,3,5
9,3,6
9,3,7
9,3,8
9,3,9
9,3,10
9,3,11
9,3,12
9,3,13
9,3,14
9,3,15
9,3,16
9,3,17
9,3,18
9,3,19
9,3,20
9,3,21
9,3,22
9,3,23
9,3,24
9,3,25
9,3,26
9,3,27
9,3,28
9,3,29
9,3,30
9,3,31
9,3,32
9,3,33
9,3,34
9,3,35
9,3,36
9,3,37
9,3,38
9,3,39
9,3,40
9,3,41
9,3,42
9,3,43
9,3,44
9,3,45
9,3,46
9,3,47
9,3,48
9,3,49
9,3,50
9,3,51
9,4,1
9,4,2
9,4,3
9,4,4
9,4,5
9,4,6
9,4,7
9,4,8
9,4,9
9,4,10
9,4,11
9,4,12
9,4,13
9,4,14
9,4,15
9,4,16
9,4,17
9,4,18
9,4,19
9,4,20
9,4,21
9,4,22
9,4,23
9,4,24
9,4,25
9,4,26
9,4,27
9,4,28
9,4,29
9,4,30
9,4,31
9,4,32
9,4,33
9,4,34
9,4,35
9,4,36
9,4,37
9,4,38
9,4,39
9,4,40
9,4,41
9,4,42
9,4,43
9,4,44
9,4,45
9,4,46
9,4,47
9,4,48
9,4,49
9,4,50
9,4,51
9,5,1
9,5,2
9,5,3
9,5,4
9,5,5
9,5,6
9,5,7
9,5,8
9,5,9
9,5,10
9,5,11
9,5,12
9,5,13
9,5,14
9,5,15
9,5,16
9,5,17
9,5,18
9,5,19
9,5,20
9,5,21
9,5,22
9,5,23
9,5,24
9,5,25
9,5,26
9,5,27
9,5,28
9,5,29
9,5,30
9,5,31
9,5,32
9,5,33
9,5,34
9,5,35
9,5,36
9,5,37
9,5,38
9,5,39
9,5,40
9,5,41
9,5,42
9,5,43
9,5,44
9,5,45
9,5,46
9,5,47
9,5,48
9,5,49
9,5,50
9,5,51
9,6,1
9,6,2
9,6,3
9,6,4
9,6,5
9,6,6
9,6,7
9,6,8
9,6,9
9,6,10
9,6,11
9,6,12
9,6,13
9,6,14
9,6,15
9,6,16
9,6,17
9,6,18
9,6,19
9,6,20
9,6,21
9,6,22
9,6,23
9,6,24
9,6,25
9,6,26
9,6,27
9,6,28
9,6,29
9,6,30
9,6,31
9,6,32
9,6,33
9,6,34
9,6,35
9,6,36
9,6,37
9,6,38
9,6,39
9,6,40
9,6,41
9,6,42
9,6,43
9,6,44
9,6,45
9,6,46
9,6,47
9,6,48
9,6,49
9,6,50
9,6,51
9,7,1
9,7,2
9,7,3
9,7,4
9,7,5
9,7,6
9,7,7
9,7,8
9,7,9
9,7,10
9,7,11
9,7,12
9,7,13
9,7,14
9,7,15
9,7,16
9,7,17
9,7,18
9,7,19
9,7,20
9,7,21
9,7,22
9,7,23
9,7,24
9,7,25
9,7,26
9,7,27
9,7,28
9,7,29
9,7,30
9,7,31
9,7,32
9,7,33
9,7,34
9,7,35
9,7,36
9,7,37
9,7,38
9,7,39
9,7,40
9,7,41
9,7,42
9,7,43
9,7,44
9,7,45
9,7,46
9,7,47
9,7,48
9,7,49
9,7,50
9,7,51
9,7,52
9,8,2
9,8,3
9,8,4
9,8,5
9,8,6
9,8,7
9,8,8
9,8,9
9,8,10
9,8,11
9,8,12
9,8,13
9,8,14
9,8,15
9,8,16
9,8,17
9,8,18
9,8,19
9,8,20
9,8,21
9,8,22
9,8,23
9,8,24
9,8,25
9,8,26
9,8,27
9,8,28
9,8,29
9,8,30
9,8,31
9,8,32
9,8,33
9,8,34
9,8,35
9,8,36
9,8,37
9,8,38
9,8,39
9,8,40
9,8,41
9,8,42
9,8,43
9,8,44
9,8,45
9,8,46
9,8,47
9,8,48
9,8,49
9,8,50
9,8,51
9,8,52
9,9,2
9,9,3
9,9,4
9,9,5
9,9,6
9,9,7
9,9,8
9,9,9
9,9,10
9,9,11
9,9,12
9,9,13
9,9,14
9,9,15
9,9,16
9,9,17
9,9,18
9,9,19
9,9,20
9,9,21
9,9,22
9,9,23
9,9,24
9,9,25
9,9,26
9,9,27
9,9,28
9,9,29
9,9,30
9,9,31
9,9,32
9,9,33
9,9,34
9,9,35
9,9,36
9,9,37
9,9,38
9,9,39
9,9,40
9,9,41
9,9,42
9,9,43
9,9,44
9,9,45
9,9,46
9,9,47
9,9,48
9,9,49
9,9,50
9,9,51
9,9,52
9,10,2
9,10,3
9,10,4
9,10,5
9,10,6
9,10,7
9,10,8
9,10,9
9,10,10
9,10,11
9,10,12
9,10,13
9,10,14
9,10,15
9,10,16
9,10,17
9,10,18
9,10,19
9,10,20
9,10,21
9,10,22
9,10,23
9,10,24
9,10,25
9,10,26
9,10,27
9,10,28
9,10,29
9,10,30
9,10,31
9,10,32
9,10,33
9,10,34
9,10,35
9,10,36
9,10,37
9,10,38
9,10,39
9,10,40
9,10,41
9,10,42
9,10,43
9,10,44
9,10,45
9,10,46
9,10,47
9,10,48
9,10,49
9,10,50
9,10,51
9,10,52
9,11,3
9,11,4
9,11,5
9,11,6
9,11,7
9,11,8
9,11,9
9,11,10
9,11,11
9,11,12
9,11,13
9,11,14
9,11,15
9,11,16
9,11,17
9,11,18
9,11,19
9,11,20
9,11,21
9,11,22
9,11,23
9,11,24
9,11,25
9,11,26
9,11,27
9,11,28
9,11,29
9,11,30
9,11,31
9,11,32
9,11,33
9,11,34
9,11,35
9,11,36
9,11,37
9,11,38
9,11,39
9,11,40
9,11,41
9,11,42
9,11,43
9,11,44
9,11,45
9,11,46
9,11,47
9,11,48
9,11,49
9,11,50
9,11,51
9,11,52
9,12,4
9,12,5
9,12,6
9,12,7
9,12,8
9,12,9
9,12,10
9,12,11
9,12,12
9,12,13
9,12,14
9,12,15
9,12,16
9,12,17
9,12,18
9,12,19
9,12,20
9,12,21
9,12,22
9,12,23
9,12,24
9,12,25
9,12,26
9,12,27
9,12,28
9,12,29
9,12,30
9,12,31
9,12,32
9,12,33
9,12,34
9,12,35
9,12,36
9,12,37
9,12,38
9,12,39
9,12,40
9,12,41
9,12,42
9,12,43
9,12,44
9,12,45
9,12,46
9,12,47
9,12,48
9,12,49
9,12,50
9,12,51
9,12,52
9,13,4
9,13,5
9,13,6
9,13,7
9,13,8
9,13,9
9,13,10
9,13,11
9,13,12
9,13,13
9,13,14
9,13,15
9,13,16
9,13,17
9,13,18
9,13,19
9,13,20
9,13,21
9,13,22
9,13,23
9,13,24
9,13,25
9,13,26
9,13,27
9,13,28
9,13,29
9,13,30
9,13,31
9,13,32
9,13,33
9,13,34
9,13,35
9,13,36
9,13,37
9,13,38
9,13,39
9,13,40
9,13,41
9,13,42
9,13,43
9,13,44
9,13,45
9,13,46
9,13,47
9,13,48
9,13,49
9,13,50
9,13,51
9,13,52
9,14,4
9,14,5
9,14,6
9,14,7
9,14,8
9,14,9
9,14,10
9,14,11
9,14,12
9,14,13
9,14,14
9,14,15
9,14,16
9,14,17
9,14,18
9,14,19
9,14,20
9,14,21
9,14,22
9,14,23
9,14,24
9,14,25
9,14,26
9,14,27
9,14,28
9,14,29
9,14,30
9,14,31
9,14,32
9,14,33
9,14,34
9,14,35
9,14,36
9,14,37
9,14,38
9,14,39
9,14,40
9,14,41
9,14,42
9,14,43
9,14,44
9,14,45
9,14,46
9,14,47
9,14,48
9,14,49
9,14,50
9,15,4
9,15,5
9,15,6
9,15,7
9,15,8
9,15,9
9,15,10
9,15,11
9,15,12
9,15,13
9,15,14
9,15,15
9,15,16
9,15,17
9,15,18
9,15,19
9,15,20
9,15,21
9,15,22
9,15,23
9,15,24
9,15,25
9,15,26
9,15,27
9,15,28
9,15,29
9,15,30
9,15,31
9,15,32
9,15,33
